Combined,All six dimensions of CDMP,27,6,0,,,,,,,,,,
Actor,Description,Influence,Dim0 Position,Dim0 Salience,Dim1 Position,Dim1 Salience,Dim2 Position,Dim2 Salience,Dim3 Position,Dim3 Salience,Dim4 Position,Dim4 Salience,Dim5 Position,Dim5 Salience
AA00,Actor 00,99.98,50,8,62.5,10,62.5,8,100,27.99,75,27.99,80,18
AA01,Actor 01,79.79,60,16.53,72.5,11.15,72.5,18.59,67.5,16.53,80,16.53,90,20.66
AA02,Actor 02,63.95,20,11.56,50,11.56,55,19.07,100,17.34,55,20.23,50,20.23
AA03,Actor 03,35.19,60,15.87,75,12.7,55,17.46,70,17.46,75,12.7,70,23.8
AA04,Actor 04,22.28,80,17.39,95,14.13,55,17.39,60,14.13,90,15.21,90,21.73
AA05,Actor 05,43.58,0,14.85,65,17.32,57.5,17.32,75,15.84,85,12.37,80,22.27
AA06,Actor 06,34.64,50,7.93,40,5.55,70,23.8,47.5,21.42,75,35.71,50,5.55
AA07,Actor 07,40.29,75,11.76,47.5,11.76,60,11.76,60,29.41,60,11.76,70,23.52
AA08,Actor 08,56.41,60,13.89,50,13.19,55,17.36,85,24.3,80,13.89,70,17.36
AA09,Actor 09,37.3,60,5,75,22.49,52.5,18.74,100,22.49,87.5,17.49,70,13.75
AA10,Actor 10,17.67,55,7.23,90,22.89,75,21.68,60,10.84,100,27.71,70,9.64
AA11,Actor 11,34.19,60,8,80,21.33,77.5,27.99,60,8,70,25.33,60,9.33
AA12,Actor 12,30.57,80,5.23,57.5,3.66,45,3.14,100,72.76,45,11.52,40,3.66
AA13,Actor 13,21.86,75,15.19,70,12.66,42.5,10.12,45,32.9,57.5,11.39,100,17.72
AA14,Actor 14,1.71,20,16.26,57.5,14.22,87.5,38.61,45,14.22,45,6.5,80,10.16
AA15,Actor 15,37.52,65,11.65,75,18.44,60,18.44,42.5,13.59,90,17.47,90,20.38
AA16,Actor 16,63.26,20,6.9,65,6.9,55,24.13,50,10.34,50,44.82,50,6.9
AA17,Actor 17,32.22,65,7.21,75,16.82,65,21.39,50,17.3,90,16.82,90,20.43
AA18,Actor 18,8.74,20,1.01,65,17.46,67.5,26.58,35,16.45,90,21.51,50,16.96
AA19,Actor 19,2.29,50,1,62.5,16.29,60,26.31,35,17.54,95,22.55,60,16.29
AA20,Actor 20,31.94,10,7.35,50,9.19,80,25.73,45,12.87,20,36.76,60,8.09
AA21,Actor 21,16.85,70,10.64,50,6.38,65,10.64,35,18.08,75,47.86,60,6.38
AA22,Actor 22,47.03,0,21.73,50,5.43,45,34.78,50,5.43,55,24.45,60,8.15
AA23,Actor 23,18.9,0,4.57,50,2.74,100,61.63,35,3.2,42.5,18.72,30,9.13
AA24,Actor 24,21.56,80,17.02,90,15.95,35,17.02,50,13.83,85,17.02,100,19.15
AA25,Actor 25,4.06,100,16.06,100,19.88,55,17.06,35,15.86,90,16.06,100,15.06
AA26,Actor 26,33.33,0,26.66,50,26.66,50,6.67,50,6.67,0,26.66,50,6.67
